"ID","SMILES","HOMO","LUMO","LUMO+1","f(S1)","f(S2)","E(S1)","E(T1)","dS1T1","EHOMO","ELUMO","ΔELL+1","fmax","ΔES1T1","consensus Log Po/w","λ"
"ABAKIZ","CCC(C=Cc1ccc(F)cc1)=C(C#N)C#N",-7.98980688,-2.22126536,-0.18149994,1.0049,0.0,4.00970002398825,2.66111993125211,1.34858009273614,"","","","","","",""
"ABASOO","CC1(C)CC2C=CC1C1=C2C2=CC3=C4C5CCC(C=C5)C4=C(N3)C=C3N=C(C=C4NC(=CC1=N2)C1=C4C2CCC1C=C2)C1=C3c2ccc(Cl)c3c(Cl)ccc1c23",-6.2278697,-2.23623162,-1.82180223,0.0054,0.203,2.17950001303898,1.80225901235374,0.377241000685239,"","","","","","",""
"ABATIJ","CN(C)c1ccc(cc1)C1=C(C#N)C(C#N)(C#N)C2=C(O1)c1ccccc1C2=O",-7.20285362,-2.28466789,-1.24111127,0.0002,0.3482,3.18670001906461,2.77055165910664,0.416148359957969,"","","","","","",""
"ABATOP","CN(C)c1ccc(cc1)C(=C(C#N)C#N)C(c1ccc(cc1)N(=O)=O)=C1C(=O)c2ccccc2C1=O",-7.09618499,-2.59705459,-1.78697166,0.0591,0.0174,2.85350001707122,2.39771051303071,0.45578950404051,"","","","","","",""
"ABATUV","CN(C)c1ccc(cc1)C(=C(C#N)C#N)C(C#N)=C1C(=O)c2ccccc2C1=O",-7.03523149,-2.7328394,-1.787788,0.0333,0.0039,2.58750001547986,2.23173603048224,0.35576398499761,"","","","","","",""
"ABAVUX","CN(C)c1ccc(cc1)C(=C(C#N)C#N)C(c1ccc(cc1)C#N)=C1C(=O)c2ccccc2C1=O",-7.16067598,-2.25283057,-1.69989522,0.00699999999999999,0.0086,3.06960001836404,2.63118256407362,0.438417454290429,"","","","","","",""
"ABECAL","c1ccc(cc1)c1ccc(cc1)c1cc2cc3cccc4cccc(c2c1)c34",-6.5541342,-2.1336447,-0.46313777,0.018,0.7486,2.39160001430787,1.58122691809399,0.81037309621389,"","","","","","",""
"ABEPIJ","COc1ccc2N(C)C(=O)C(c2c1)=C1C(=O)N(C)c2ccc(Cl)cc12",-6.83794895,-2.22235382,0.44517826,0.0777,0.0428,2.58700001547687,1.94207981638424,0.64492019909262,"","","","","","",""
"ABICUJ","CC1C(CCc2ccccc2)OC(COC(=O)c2cc(cc(c2)N(=O)=O)N(=O)=O)C1OC(=O)c1cc(cc(c1)N(=O)=O)N(=O)=O",-8.40124302,-2.40847969,-2.29391976,0.0002,0.0026,3.73310002233347,3.48592482216491,0.247175200168559,"","","","","","",""
"ABIHAX","CC(C)C=C(NC(=O)c1cc(cc(c1)N(=O)=O)N(=O)=O)C(=O)N(C)C",-8.1198773,-2.33092724,-2.07650079,0.0001,0.0013,3.75190002244595,4.25042052172597,-0.49852049928002,"","","","","","",""
